seed,file_name,prompt_version,test,subject_clip_raw,subject_clip_norm,style_clip_raw,style_clip_norm,sharpness_raw,sharpness_norm,single_image_score
1817777231737725390,router_best_output_selector_00001_.png,v1,Baseline,0.3389,0.8333,0.2175,0.3333,445.0315,0.8333,0.4833
1817777231737725390,router_best_output_selector_00002_.png,v2,Subject,0.3252,0.3333,0.2135,0.1667,487.8432,1.0,0.2667
1817777231737725390,router_best_output_selector_00003_.png,v3,Style,0.286,0.0,0.2877,0.8333,96.2531,0.5,0.1667
1817777231737725390,router_best_output_selector_00004_.png,v4,Style consistency,0.3271,0.5,0.2049,0.0,67.4304,0.3333,0.2333
1817777231737725390,router_best_output_selector_00005_.png,v5,Composition,0.3448,1.0,0.3479,1.0,37.8484,0.0,0.6
1817777231737725390,router_best_output_selector_00006_.png,v6,Density,0.3188,0.1667,0.2611,0.5,63.6173,0.1667,0.1667
1817777231737725390,router_best_output_selector_00007_.png,v7,Simple,0.3273,0.6667,0.2804,0.6667,120.1164,0.6667,0.4667
653998188085737190,router_best_output_selector_00008_.png,v1,Baseline,0.3525,1.0,0.2405,0.3333,387.6831,1.0,0.5667
653998188085737190,router_best_output_selector_00009_.png,v2,Subject,0.3288,0.6667,0.2035,0.0,277.6767,0.8333,0.35
653998188085737190,router_best_output_selector_00010_.png,v3,Style,0.3181,0.1667,0.2539,0.6667,108.6223,0.6667,0.2
653998188085737190,router_best_output_selector_00011_.png,v4,Style consistency,0.3333,0.8333,0.215,0.1667,53.7021,0.1667,0.3833
653998188085737190,router_best_output_selector_00012_.png,v5,Composition,0.3227,0.3333,0.3039,1.0,41.459,0.0,0.3333
653998188085737190,router_best_output_selector_00013_.png,v6,Density,0.3015,0.0,0.249,0.5,62.446,0.3333,0.1
653998188085737190,router_best_output_selector_00014_.png,v7,Simple,0.3238,0.5,0.2622,0.8333,76.414,0.5,0.4167
3697035738067059104,router_best_output_selector_00015_.png,v1,Baseline,0.3466,1.0,0.2698,0.6667,203.4593,0.8333,0.6167
3697035738067059104,router_best_output_selector_00016_.png,v2,Subject,0.3219,0.3333,0.2107,0.0,247.3119,1.0,0.2333
3697035738067059104,router_best_output_selector_00017_.png,v3,Style,0.3247,0.5,0.2784,0.8333,102.3666,0.6667,0.4333
3697035738067059104,router_best_output_selector_00018_.png,v4,Style consistency,0.3457,0.8333,0.2319,0.1667,66.2282,0.1667,0.3833
3697035738067059104,router_best_output_selector_00019_.png,v5,Composition,0.3151,0.1667,0.2886,1.0,52.6033,0.0,0.2667
3697035738067059104,router_best_output_selector_00020_.png,v6,Density,0.342,0.6667,0.2472,0.5,82.5682,0.3333,0.4
3697035738067059104,router_best_output_selector_00021_.png,v7,Simple,0.2944,0.0,0.2425,0.3333,83.6769,0.5,0.0667
4756892756305239358,router_best_output_selector_00022_.png,v1,Baseline,0.3474,1.0,0.2399,0.3333,338.0053,0.8333,0.55
4756892756305239358,router_best_output_selector_00023_.png,v2,Subject,0.3165,0.1667,0.1974,0.0,342.345,1.0,0.0667
4756892756305239358,router_best_output_selector_00024_.png,v3,Style,0.3398,0.8333,0.2583,0.5,89.562,0.6667,0.5
4756892756305239358,router_best_output_selector_00025_.png,v4,Style consistency,0.3212,0.5,0.2392,0.1667,69.5848,0.3333,0.2667
4756892756305239358,router_best_output_selector_00026_.png,v5,Composition,0.3271,0.6667,0.3005,1.0,59.7054,0.0,0.4667
4756892756305239358,router_best_output_selector_00027_.png,v6,Density,0.3205,0.3333,0.2636,0.6667,67.5242,0.1667,0.2833
4756892756305239358,router_best_output_selector_00028_.png,v7,Simple,0.2726,0.0,0.2664,0.8333,88.2435,0.5,0.1667
50590660834359081,router_best_output_selector_00029_.png,v1,Baseline,0.3532,1.0,0.2357,0.1667,355.8338,0.8333,0.5167
50590660834359081,router_best_output_selector_00030_.png,v2,Subject,0.3313,0.5,0.2149,0.0,391.1923,1.0,0.3
50590660834359081,router_best_output_selector_00031_.png,v3,Style,0.3367,0.6667,0.2397,0.3333,106.3149,0.6667,0.4
50590660834359081,router_best_output_selector_00032_.png,v4,Style consistency,0.3266,0.3333,0.2426,0.5,71.2804,0.3333,0.2667
50590660834359081,router_best_output_selector_00033_.png,v5,Composition,0.3373,0.8333,0.3147,1.0,51.3181,0.0,0.5333
50590660834359081,router_best_output_selector_00034_.png,v6,Density,0.3213,0.0,0.2543,0.8333,65.3564,0.1667,0.1667
50590660834359081,router_best_output_selector_00035_.png,v7,Simple,0.3261,0.1667,0.2536,0.6667,79.1317,0.5,0.2
665387876362229617,router_best_output_selector_00036_.png,v1,Baseline,0.3233,0.8333,0.2267,0.1667,346.1849,0.8333,0.45
665387876362229617,router_best_output_selector_00037_.png,v2,Subject,0.326,1.0,0.2007,0.0,399.6913,1.0,0.5
665387876362229617,router_best_output_selector_00038_.png,v3,Style,0.3038,0.0,0.2783,0.8333,123.375,0.6667,0.1667
665387876362229617,router_best_output_selector_00039_.png,v4,Style consistency,0.3158,0.5,0.2322,0.5,65.0315,0.3333,0.3333
665387876362229617,router_best_output_selector_00040_.png,v5,Composition,0.3087,0.3333,0.3178,1.0,41.3053,0.0,0.3333
665387876362229617,router_best_output_selector_00041_.png,v6,Density,0.3071,0.1667,0.2653,0.6667,58.1523,0.1667,0.2
665387876362229617,router_best_output_selector_00042_.png,v7,Simple,0.3185,0.6667,0.2307,0.3333,88.4831,0.5,0.3833
1898533362038291164,router_best_output_selector_00043_.png,v1,Baseline,0.3421,1.0,0.2073,0.1667,557.4696,1.0,0.5333
1898533362038291164,router_best_output_selector_00044_.png,v2,Subject,0.3195,0.5,0.2056,0.0,545.7893,0.8333,0.2833
1898533362038291164,router_best_output_selector_00045_.png,v3,Style,0.319,0.3333,0.2568,0.8333,71.4044,0.5,0.35
1898533362038291164,router_best_output_selector_00046_.png,v4,Style consistency,0.3336,0.8333,0.2239,0.5,58.6543,0.0,0.4333
1898533362038291164,router_best_output_selector_00047_.png,v5,Composition,0.3275,0.6667,0.3022,1.0,78.2423,0.6667,0.5333
1898533362038291164,router_best_output_selector_00048_.png,v6,Density,0.2998,0.1667,0.2222,0.3333,65.3174,0.1667,0.1333
1898533362038291164,router_best_output_selector_00049_.png,v7,Simple,0.2737,0.0,0.2412,0.6667,65.596,0.3333,0.1333
6263231862458477303,router_best_output_selector_00050_.png,v1,Baseline,0.3394,0.6667,0.2068,0.0,339.0694,1.0,0.3667
6263231862458477303,router_best_output_selector_00051_.png,v2,Subject,0.3603,1.0,0.2244,0.3333,216.9992,0.8333,0.55
6263231862458477303,router_best_output_selector_00052_.png,v3,Style,0.3072,0.0,0.2469,0.5,101.3898,0.6667,0.1
6263231862458477303,router_best_output_selector_00053_.png,v4,Style consistency,0.3455,0.8333,0.2163,0.1667,63.1888,0.1667,0.3833
6263231862458477303,router_best_output_selector_00054_.png,v5,Composition,0.3237,0.3333,0.3019,1.0,47.8146,0.0,0.3333
6263231862458477303,router_best_output_selector_00055_.png,v6,Density,0.3351,0.5,0.2515,0.6667,68.38,0.3333,0.3667
6263231862458477303,router_best_output_selector_00056_.png,v7,Simple,0.3193,0.1667,0.267,0.8333,85.2309,0.5,0.2333
8038420175316636725,router_best_output_selector_00057_.png,v1,Baseline,0.3265,0.6667,0.2498,0.5,149.5067,0.8333,0.45
8038420175316636725,router_best_output_selector_00058_.png,v2,Subject,0.3181,0.1667,0.2305,0.1667,349.5698,1.0,0.1
8038420175316636725,router_best_output_selector_00059_.png,v3,Style,0.3198,0.3333,0.2592,0.6667,78.7196,0.5,0.3167
8038420175316636725,router_best_output_selector_00060_.png,v4,Style consistency,0.3269,0.8333,0.2287,0.0,59.4095,0.3333,0.3667
8038420175316636725,router_best_output_selector_00061_.png,v5,Composition,0.3225,0.5,0.3211,1.0,29.0032,0.0,0.4
8038420175316636725,router_best_output_selector_00062_.png,v6,Density,0.3379,1.0,0.2428,0.3333,57.5682,0.1667,0.4833
8038420175316636725,router_best_output_selector_00063_.png,v7,Simple,0.2932,0.0,0.2938,0.8333,109.2679,0.6667,0.1667
4594273174593857050,router_best_output_selector_00064_.png,v1,Baseline,0.3509,0.8333,0.2134,0.3333,386.927,0.8333,0.4833
4594273174593857050,router_best_output_selector_00065_.png,v2,Subject,0.315,0.5,0.1843,0.0,461.9813,1.0,0.3
4594273174593857050,router_best_output_selector_00066_.png,v3,Style,0.3075,0.3333,0.2731,0.6667,80.6828,0.5,0.3167
4594273174593857050,router_best_output_selector_00067_.png,v4,Style consistency,0.3347,0.6667,0.2131,0.1667,49.9085,0.0,0.3
4594273174593857050,router_best_output_selector_00068_.png,v5,Composition,0.3753,1.0,0.3322,1.0,54.7921,0.1667,0.6167
4594273174593857050,router_best_output_selector_00069_.png,v6,Density,0.2959,0.0,0.226,0.5,74.297,0.3333,0.1
4594273174593857050,router_best_output_selector_00070_.png,v7,Simple,0.2962,0.1667,0.2757,0.8333,97.8435,0.6667,0.2333
